treat,debt,lopen,lrer,bndvol,gdpgvol,pivol,spreadvol
1,6.8,50.2,92,0.5,0.9,0.2,0.5
1,39.4,48.2,94.2,0.5,0.8,0.2,0.1
1,0.4,46.3,100,0.4,0.7,0.3,0.1
1,13.2,47.5,101.8,0.4,0.5,0.1,0.1
1,59,49.4,100.6,0.5,0.5,0.1,0.2
1,48.8,53.3,100.2,0.3,1.6,0.8,0.4
1,44,55.2,101.1,0.2,3.5,1.3,2
1,45.1,54.7,102.6,0.3,3.6,1.3,1.6
1,0.5,45.6,103.8,0.7,3.9,1,2
1,114.7,52.3,100,0.8,2.3,0.8,1.9
1,108.3,55.6,100,0.7,1.7,1,0.4
1,127,56.2,98.2,1.3,1.5,1.4,0.2
1,134.8,55.5,99.9,1.3,1.3,0.6,0.2
1,37.2,55.8,99.5,0.8,0.9,0.2,0.1
1,43.7,57,95,0.8,0.9,0.2,0.1
1,30.5,241.7,94.2,0.5,2.6,0.3,1.1
1,30.5,241.7,94.2,0.5,2.6,0.3,1.1
1,5,269.2,92.3,0.4,3.1,0.5,0.9
1,4.7,274.5,92.7,0.8,1.6,0.3,0.5
1,4.6,259.9,93.9,1,1.6,0.1,0.6
1,3.8,256.4,97.2,0.5,1.5,0.2,0.3
1,4,281.6,98.4,0.4,1,0.2,0.5
1,3.7,297.6,98.2,1,2.6,0.2,0.4
1,4.4,320.9,98.8,0.7,4.7,0.5,0.3
1,4.7,336.3,99.7,0.2,7,1.5,2
0,12.3,348.4,101.6,0.7,5.6,1.5,1.8
0,13.2,303,102.6,0.7,5.7,1.5,0.8
0,18,318.8,100,0.8,2.9,0.6,0.6
0,17.4,325.1,100.8,0.6,2.1,0.8,0.7
0,30.1,343,98.6,0.3,2.6,1,1
0,30.1,352.9,100.7,0.8,0.6,0.7,0.5
0,31.8,385.4,100.3,0.6,1.3,0.2,0.3
0,31.1,438.2,96.6,0.6,1.3,0.2,0.3
0,55,115.1,94.6,0.4,1.5,1,1.2
0,55,115.1,94.6,0.4,1.5,1,1.2
0,49.3,126.5,89.7,0.3,2.1,0.9,1
